Wall time,Step,Value
1674469550.2153049,0,0.1964111030101776
1674469573.9501371,1,0.021616656333208084
1674469595.7771158,2,25.560165405273438
1674469619.460978,3,112.65972900390625
1674469641.060626,4,0.9575525522232056
1674469663.1376529,5,0.03305448964238167
1674469687.0672572,6,0.6529980301856995
1674469710.950488,7,0.03421035408973694
1674469735.011751,8,23.493196487426758
1674469759.829762,9,0.0225763488560915
1674469784.682284,10,0.009454800747334957
1674469809.8292549,11,0.007663709111511707
1674469835.128402,12,0.01209686417132616
1674469860.388184,13,0.008612709119915962
1674469882.645032,14,0.007602004334330559
1674469906.351646,15,0.010881700552999973
1674469927.328251,16,0.009785397909581661
1674469947.3254569,17,0.008603457361459732
1674469967.063424,18,0.008342665620148182
1674469988.346106,19,0.0068796356208622456
1674470009.398817,20,0.003026031656190753
1674470030.2171881,21,0.003211429575458169
1674470051.267234,22,0.004843715578317642
1674470072.368661,23,0.011046397499740124
1674470091.4596648,24,0.0046206205151975155
1674470111.101527,25,0.017743924632668495
1674470130.626106,26,0.005530664697289467
1674470150.95428,27,0.0072875795885920525
1674470171.9048162,28,0.007807991933077574
1674470193.669467,29,0.005778094287961721
1674470213.972817,30,0.01838688738644123
1674470235.8950882,31,0.017906248569488525
1674470256.429184,32,0.015186043456196785
1674470276.794286,33,0.047918256372213364
1674470296.871219,34,0.04262916371226311
1674470318.029828,35,0.05348588898777962
1674470338.16325,36,0.114095538854599
1674470358.860333,37,1.1282531023025513
1674470379.427582,38,0.03160082548856735
1674470400.369559,39,0.5898235440254211
1674470420.8280928,40,0.0030654845759272575
1674470441.454533,41,0.002346891677007079
1674470461.736626,42,0.003376775188371539
1674470481.9430249,43,0.001513410359621048
1674470502.003734,44,0.0024153287522494793
1674470522.0558531,45,0.0032854191958904266
1674470540.702795,46,0.00267830491065979
1674470559.9574358,47,0.003633523592725396
1674470580.4090939,48,0.004418886732310057
1674470602.107604,49,0.004529434721916914
1674470623.202206,50,0.003108195960521698
1674470647.0866282,51,0.00704869395121932
1674470668.4436648,52,0.016154693439602852
1674470690.49015,53,0.011232031509280205
1674470711.4946969,54,0.006929220166057348
1674470732.0893672,55,0.004348008427768946
1674470752.78752,56,0.003227417590096593
1674470772.928166,57,0.0061479602009058
1674470792.949933,58,0.0044139777310192585
1674470813.4206452,59,0.005269000306725502
1674470833.751969,60,0.005978803616017103
1674470853.967087,61,0.0038622987922281027
1674470874.293947,62,0.0047105723060667515
1674470894.1645708,63,0.006585645955055952
1674470914.2443619,64,0.006884879432618618
1674470933.6415172,65,0.005340950097888708
1674470952.7605991,66,0.004629550967365503
1674470971.844606,67,0.012834199704229832
1674470992.3152618,68,0.008102240040898323
1674471013.037297,69,0.014703738503158092
1674471033.314243,70,0.009896391071379185
1674471054.072822,71,0.012505719438195229
1674471074.399463,72,0.01689538173377514
1674471094.529442,73,0.005076959263533354
1674471115.042051,74,0.0009232067386619747
1674471135.44651,75,0.000389431428629905
1674471155.497979,76,0.004566099029034376
1674471176.9238122,77,0.0021610634867101908
1674471197.19665,78,0.0015683132223784924
1674471218.071369,79,0.0032214070670306683
1674471238.404055,80,0.002003719564527273
1674471258.241641,81,0.0019870696123689413
1674471279.120329,82,0.0028550431597977877
1674471299.0021918,83,0.0011452635517343879
1674471318.505802,84,0.004870004020631313
1674471338.136121,85,0.004371759481728077
1674471357.841331,86,0.0034185294061899185
1674471382.157116,87,0.008178497664630413
1674471412.157588,88,0.011396062560379505
1674471440.558243,89,0.005423527676612139
1674471464.537646,90,0.010034222155809402
1674471485.182722,91,0.003352211322635412
1674471505.7005382,92,0.016201045364141464
1674471525.913227,93,0.009595840238034725
1674471546.651924,94,0.00812485534697771
1674471568.355246,95,0.0062005119398236275
1674471589.755764,96,0.01681598089635372
1674471610.4090009,97,16.36989974975586
1674471630.690592,98,0.011866843327879906
1674471651.258276,99,0.19054824113845825
