Wall time,Step,Value
1674468120.5887392,0,0.06410965323448181
1674468134.9055429,1,0.03625401854515076
1674468149.542968,2,0.09003987908363342
1674468165.407914,3,0.25015801191329956
1674468181.914277,4,0.04513349384069443
1674468198.635366,5,0.027886398136615753
1674468213.478427,6,0.017421388998627663
1674468227.5664499,7,0.02845068648457527
1674468242.909312,8,0.034257519990205765
1674468257.414401,9,0.014504900202155113
1674468276.239757,10,0.019154002889990807
1674468294.2097962,11,0.009339752607047558
1674468312.458873,12,0.005226971581578255
1674468330.571518,13,0.0032527896109968424
1674468348.710569,14,0.0022073753643780947
1674468364.131375,15,0.001945402822457254
1674468379.786237,16,0.0018861439311876893
1674468397.6434538,17,0.0015191469574347138
1674468415.9393458,18,0.001231000293046236
1674468430.51313,19,0.0011811460135504603
1674468447.2029572,20,0.0010057478211820126
1674468463.696791,21,0.0006681734230369329
1674468480.3923578,22,0.0006985929794609547
1674468496.55124,23,0.0006984241772443056
1674468510.5396411,24,0.0006213722517713904
1674468525.444271,25,0.000761674833483994
1674468540.778913,26,0.0008322260109707713
1674468554.921637,27,0.0010744408937171102
1674468571.25916,28,0.0006208790582604706
1674468587.070407,29,0.0004052848380524665
1674468603.23667,30,0.0003065956989303231
1674468617.77415,31,0.0003833677328657359
1674468632.779757,32,0.00027447412139736116
1674468647.660896,33,0.00047762971371412277
1674468663.832556,34,0.0003374209045432508
1674468679.72171,35,0.0005650122766382992
1674468696.525676,36,0.0006877176347188652
1674468713.542847,37,0.0007744513568468392
1674468729.146224,38,0.001582760363817215
1674468746.717231,39,0.0019979022908955812
1674468762.7801979,40,0.006047034170478582
1674468779.67783,41,0.006606300827115774
1674468797.1107242,42,0.00986738596111536
1674468814.961133,43,0.004949126858264208
1674468832.794739,44,0.006417979020625353
1674468846.398571,45,0.0032281484454870224
1674468862.1361501,46,0.006962609477341175
1674468876.49617,47,0.0038006461691111326
1674468893.0163782,48,0.004462339449673891
1674468908.911883,49,0.005989694967865944
1674468924.7256699,50,0.0027395542711019516
1674468939.975011,51,0.002566959010437131
1674468954.191329,52,0.002262854017317295
1674468968.759476,53,0.0023856463376432657
1674468983.106643,54,0.0014646585332229733
1674468998.471412,55,0.001747785252518952
1674469014.113643,56,0.0012600418413057923
1674469030.375181,57,0.0014402606757357717
1674469046.794698,58,0.0010292617371305823
1674469062.671328,59,0.0008475565118715167
1674469078.541009,60,0.0009724898263812065
1674469093.117146,61,0.0011398509377613664
1674469109.0892348,62,0.000688897620420903
1674469124.85812,63,0.001009949715808034
1674469140.472417,64,0.0011595824034884572
1674469156.476091,65,0.0009475844562985003
1674469171.474942,66,0.00079062842996791
1674469187.900886,67,0.0004195173969492316
1674469204.466568,68,0.0003588575928006321
1674469219.2540748,69,0.0004589358577504754
1674469236.228085,70,0.0005128155462443829
1674469251.071743,71,0.0005401901435106993
1674469267.791071,72,0.0006446676561608911
1674469284.3577678,73,0.00031008379301056266
1674469300.77465,74,0.0004221949784550816
1674469316.7224991,75,0.0006576748564839363
1674469332.360448,76,0.0004955620970577002
1674469346.365119,77,0.000606247631367296
1674469360.3024518,78,0.0010355539852753282
1674469375.251413,79,0.0012991552939638495
1674469389.907115,80,0.001390026998706162
